Barcode,Treatment,Accession,Smarthouse,Position,NapDW,Na_mM,KpDW,K_mM,NapK
52208,S,M185,NW,L23P6,0.48,63.39,1.59,208.86,0.3
52210,S,M237,NW,L23P8,0.47,57.31,1.67,204.8,0.28
52212,S,M170,NW,L23P10,0.47,69.27,1.54,226.13,0.31
52216,S,M176,NW,L23P14,0.86,96.61,1.6,180.96,0.53
52218,S,M037,NW,L23P16,0.68,90.1,1.91,252.87,0.36
52220,S,M012,NW,L23P18,0.65,80.1,1.5,184,0.44
52221,C,M169,NW,L23P19,0.21,27.18,1.46,193.03,0.14
52222,S,M169,NW,L23P20,0.34,50.67,1.52,225.55,0.22
52224,S,M171,NW,L23P22,0.42,54.12,1.53,197.46,0.27
52225,C,M171,NW,L23P23,0.27,33.95,1.42,180.71,0.19
52227,S,M261,NW,L23P25,0.55,79.91,1.43,206.27,0.39
52229,S,M159,NW,L24P2,0.32,48.23,1.49,226.65,0.21
52230,S,M251,NW,L24P3,0.59,78.48,1.78,238.09,0.33
52233,S,M001,NW,L24P6,0.49,70.63,1.57,225.07,0.31
52234,S,M282,NW,L24P7,0.26,33.87,1.82,240.36,0.14
52236,S,M073,NW,L24P9,0.45,53.9,2.37,282.14,0.19
52239,S,M211,NW,L24P12,0.71,91.61,1.43,184.1,0.5
52241,S,M138,NW,L24P14,0.44,54.13,1.54,192.02,0.28
52242,C,M292,NW,L24P15,0.28,31.66,1.48,164.9,0.19
52243,S,M292,NW,L24P16,0.39,51.24,1.65,216.76,0.24
52245,S,M110,NW,L24P18,0.48,67.38,1.53,213.93,0.31
52246,C,M110,NW,L24P19,0.32,38.63,1.53,187.29,0.21
52247,S,M155,NW,L24P20,0.3,38.69,1.69,218.92,0.18
52249,S,M093,NW,L24P22,0.57,73.59,1.39,177.59,0.41
52251,S,M238,NW,L24P24,0.42,53.26,1.58,201.36,0.26
