Barcode,Treatment,Accession,Smarthouse,Position,NapDW,Na_mM,KpDW,K_mM,NapK
51425,C,M187,NE,L15P23,0.25,30.23,1.27,151.37,0.2
51426,S,M187,NE,L15P24,0.43,57.51,1.55,206.9,0.28
51428,S,M169,NE,L16P1,0.34,45.9,1.52,202.1,0.23
51431,S,M226,NE,L16P4,0.26,35.74,1.39,194.02,0.18
51433,S,M159,NE,L16P6,0.34,46.78,1.31,181.5,0.26
51436,S,M007,NE,L16P9,0.37,50.27,1.36,185.61,0.27
51438,S,M270,NE,L16P11,0.16,22.15,1.43,202.43,0.11
51439,S,M225,NE,L16P12,0.33,38.66,1.44,168.73,0.23
51441,C,M166,NE,L16P14,0.26,29.01,1.69,187.9,0.15
51442,S,M166,NE,L16P15,0.38,53.83,1.34,188.09,0.29
51443,S,M291,NE,L16P16,0.49,61.43,1.44,180.22,0.34
51444,C,M291,NE,L16P17,0.28,32.36,1.24,141.64,0.23
51445,S,M089,NE,L16P18,0.59,74.58,1.46,184.81,0.4
51448,S,M151,NE,L16P21,0.47,65.1,1.5,206.81,0.31
51450,S,M241,NE,L16P23,0.48,69.64,1.41,202.88,0.34
51451,S,M019,NE,L16P24,0.34,51.27,1.33,199.75,0.26
51454,S,M227,NE,L17P2,0.28,37.78,1.4,185.76,0.2
51456,S,M085,NE,L17P4,0.44,64.41,1.12,164.88,0.39
51457,C,M289,NE,L17P5,0.27,27.7,1.4,142.6,0.19
51458,S,M289,NE,L17P6,0.49,65.3,1.43,191.31,0.34
51460,C,M081,NE,L17P8,0.35,37.94,1.71,183.51,0.21
51461,S,M081,NE,L17P9,0.53,63,1.4,164.89,0.38
51463,S,M192,NE,L17P11,0.39,52.36,1.26,167.21,0.31
51464,S,M221,NE,L17P12,0.33,40.93,1.74,217.63,0.19
51467,S,M239,NE,L17P15,0.27,38.19,1.52,215.19,0.18
51469,S,M293,NE,L17P17,0.31,41.68,1.61,218.22,0.19
51470,S,M236,NE,L17P18,0.47,56.66,1.36,164.45,0.34
51472,S,M240,NE,L17P20,0.26,36.33,1.33,185.48,0.2
51475,S,M209,NE,L17P23,0.35,44.26,1.4,179.3,0.25
51476,S,M290,NE,L17P24,0.38,51.95,1.46,198.24,0.26
51479,S,M054,NE,L18P2,0.44,55.64,1.38,175,0.32
51481,S,M064,NE,L18P4,0.12,16.31,1.47,197.84,0.08
51483,S,M030,NE,L18P6,0.56,73.88,1.47,195.62,0.38
51485,S,M110,NE,L18P8,0.39,52.31,1.38,184.78,0.28
51486,S,M086,NE,L18P9,0.49,63.53,1.52,197.24,0.32
51489,S,M20,NE,L18P12,0.4,49.6,1.51,186.17,0.27
51490,C,M20,NE,L18P13,0.29,27.87,1.24,116.97,0.24
51491,C,M231,NE,L18P14,0.32,38.32,1.76,213.06,0.18
51492,S,M231,NE,L18P15,0.4,55.64,1.31,182.18,0.31
51493,S,M267,NE,L18P16,0.52,66.07,1.64,208.65,0.32
51496,S,M276,NE,L18P19,0.38,45.9,1.49,180.71,0.25
51497,S,M158,NE,L18P20,0.42,49.69,1.39,165.58,0.3
51499,S,M232,NE,L18P22,0.45,58.02,1.59,206.6,0.28
51501,S,M057,NE,L18P24,0.34,46.65,1.35,185.14,0.25
51504,S,M190,NE,L19P2,0.59,70.42,2.03,243.73,0.29
51505,S,M024,NE,L19P3,0.31,43.1,1.21,168.93,0.26
51507,S,M181,NE,L19P5,0.26,36.66,1.43,201.64,0.18
51509,S,M099,NE,L19P7,0.31,45.88,1.59,232.03,0.2
51512,S,M237,NE,L19P10,0.46,59.61,1.5,195.4,0.31
51513,S,M239,NE,L19P11,0.36,49.54,1.5,208.46,0.24
51515,C,M282,NE,L19P13,0.15,16.5,1.59,178.98,0.09
51516,S,M282,NE,L19P14,0.29,36.13,1.87,234.01,0.15
51518,C,M093,NE,L19P16,0.31,37.16,1.21,144.9,0.26
51519,S,M093,NE,L19P17,0.48,65.33,1.38,188.34,0.35
51520,S,M236,NE,L19P18,0.46,56.93,1.52,188.98,0.3
51522,S,M060,NE,L19P20,0.49,67.56,1.41,193.95,0.35
51524,S,M258,NE,L19P22,0.47,52.36,1.61,179.92,0.29
51526,S,M288,NE,L19P24,0.44,58.39,1.51,199.74,0.29
51528,S,M040,NE,L20P1,0.44,57.11,1.47,190.36,0.3
51530,S,M157,NE,L20P3,0.38,54.7,1.37,197.66,0.28
51532,S,M299,NE,L20P5,0.44,55.22,1.51,190.59,0.29
51534,S,M075,NE,L20P7,0.35,46.99,1.46,195.09,0.24
51536,S,M116,NE,L20P9,0.43,53.41,1.65,202.1,0.26
51538,S,M191,NE,L20P11,0.45,58.66,1.45,189.65,0.31
51541,S,M073,NE,L20P14,0.44,52.58,2.35,279.81,0.19
51543,S,M044,NE,L20P16,0.24,30.62,1.44,180.74,0.17
51544,C,M084,NE,L20P17,0.31,39.91,1.15,146.03,0.27
51545,S,M084,NE,L20P18,0.48,70.71,1.22,179.87,0.39
51547,C,M269,NE,L20P20,0.26,31.55,1.26,154.19,0.2
51548,S,M269,NE,L20P21,0.42,55.64,1.49,195.13,0.29
51550,S,M198,NE,L20P23,0.26,37.1,1.43,206.49,0.18
51552,S,M118,NE,L20P25,0.43,58.86,1.54,209.09,0.28
51554,S,M275,NE,L21P2,0.47,58.64,1.28,161.27,0.36
51556,S,M044,NE,L21P4,0.2,26.14,1.81,242.08,0.11
51557,S,M184,NE,L21P5,0.46,56.91,1.49,185.02,0.31
51559,S,M285,NE,L21P7,0.61,74.68,2.03,248.26,0.3
51561,S,M226,NE,L21P9,0.83,87.86,3.38,356,0.25
51563,S,M137,NE,L21P11,0.29,38.74,1.32,174.71,0.22
51566,S,M174,NE,L21P14,0.47,63.35,1.81,246.1,0.26
51568,S,M115,NE,L21P16,0.26,42.58,1.43,231.73,0.18
51569,S,M296,NE,L21P17,0.38,53.55,1.01,144.79,0.37
51571,S,M244,NE,L21P19,0.57,72.31,1.4,178.03,0.41
51573,S,M106,NE,L21P21,0.31,46.9,1.34,200.16,0.23
51574,C,M106,NE,L21P22,0.18,24.7,1.35,188.38,0.13
51576,C,M207,NE,L21P24,0.18,21.05,1.61,187.15,0.11
51577,S,M207,NE,L21P25,0.56,75.31,1.59,212.67,0.35
51579,S,M010,NE,L22P2,0.65,86.74,1.64,218.89,0.4
51580,C,M010,NE,L22P3,0.19,22.53,1.47,170.87,0.13
51581,S,M200,NE,L22P4,0.38,51.65,1.27,170.55,0.3
51582,C,M200,NE,L22P5,0.25,25.93,1.36,141.68,0.18
51584,S,M142,NE,L22P7,0.37,51.2,1.51,208.36,0.25
51586,S,M028,NE,L22P9,0.35,46.22,1.58,208.15,0.22
51588,S,M081,NE,L22P11,0.59,72.25,1.99,244.84,0.3
51590,S,M018,NE,L22P13,0.29,38.51,1.61,210.51,0.18
51591,S,M270,NE,L22P14,0.51,65.01,1.37,176.04,0.37
51593,S,M201,NE,L22P16,0.55,73.36,1.34,179.54,0.41
51595,S,M057,NE,L22P18,0.35,51.63,1.48,219.47,0.24
51598,S,M127,NE,L22P21,0.44,57.38,1.23,162.72,0.35
51600,S,M013,NE,L22P23,0.53,76.77,1.35,194.29,0.4
51602,S,M037,NE,L22P25,0.58,83.24,1.67,239.28,0.35
51604,S,M103,NE,L23P2,0.41,55.53,1.62,221.78,0.25
51605,S,M176,NE,L23P3,0.48,59.61,1.71,212.45,0.28
51606,C,M176,NE,L23P4,0.26,29.66,1.51,173.07,0.17
51608,C,M036,NE,L23P6,0.24,25.6,1.53,160.46,0.16
51609,S,M036,NE,L23P7,0.38,49.46,1.69,218.81,0.23
51611,S,M040,NE,L23P9,0.46,58.11,1.68,212.76,0.27
51612,S,M119,NE,L23P10,0.42,58.89,1.31,182.92,0.32
51614,S,M189,NE,L23P12,0.39,51.44,1.65,218.3,0.24
51616,S,M088,NE,L23P14,0.55,76.36,1.52,212.67,0.36
51618,S,M070,NE,L23P16,0.6,83.54,1.48,207.37,0.4
51620,S,M034,NE,L23P18,0.3,45.02,1.6,240.18,0.19
51623,S,M138,NE,L23P21,0.51,67,1.3,169.87,0.39
51625,S,M255,NE,L23P23,0.48,64.79,1.39,187.65,0.35
51626,S,M273,NE,L23P24,0.37,47.52,1.45,188.59,0.25
51629,S,M129,NE,L24P2,0.34,43.52,1.55,201.1,0.22
51631,S,M177,NE,L24P4,0.34,44.15,1.49,192.05,0.23
51632,S,M087,NE,L24P5,0.44,54.83,1.59,198.45,0.28
51634,C,M264,NE,L24P7,0.21,20.49,1.38,136.41,0.15
51635,S,M264,NE,L24P8,0.38,50.91,1.33,179.44,0.28
51638,C,M104,NE,L24P11,0.21,25.29,1.38,167.88,0.15
51639,S,M062,NE,L24P12,0.49,55.78,2.17,247.85,0.23
51641,S,M060,NE,L24P14,0.45,60.47,1.58,213.41,0.28
51643,S,M297,NE,L24P16,0.46,60.93,2.07,276.54,0.22
51645,S,M042,NE,L24P18,0.43,58.79,2.13,289.2,0.2
51648,S,M045,NE,L24P21,0.51,65.32,1.71,220.72,0.3
51650,S,M220,NE,L24P23,0.46,56.08,1.9,228.89,0.25
51652,S,M174,NE,L24P25,0.41,56.07,1.38,189.31,0.3
51654,S,M297,NW,L1P2,0.57,71.44,1.85,233.58,0.31
51655,C,M197,NW,L1P3,0.26,32.41,1.69,211.59,0.15
51656,S,M197,NW,L1P4,0.61,79.45,1.91,250.11,0.32
51658,S,M221,NW,L1P6,0.91,89.47,1.99,194.61,0.46
51659,C,M221,NW,L1P7,0.21,22.26,1.84,199.3,0.11
51661,S,M052,NW,L1P9,0.51,73.67,1.71,245.53,0.3
51662,S,M049,NW,L1P10,0.52,65.8,1.63,207.22,0.32
51665,S,M141,NW,L1P13,0.46,58.16,1.74,221.01,0.26
51667,S,M016,NW,L1P15,0.46,57.02,1.59,198.34,0.29
51669,S,M023,NW,L1P17,0.46,54.3,1.81,214.94,0.25
51670,S,M053,NW,L1P18,0.67,78.2,1.67,196.29,0.4
51673,S,M129,NW,L1P21,0.51,62.67,1.71,211.7,0.3
51674,S,M045,NW,L1P22,0.56,70.3,1.8,226.61,0.31
51677,S,M003,NW,L1P25,0.42,56.21,1.7,226.05,0.25
51679,C,M234,NW,L2P2,0.28,29.12,1.26,133.35,0.22
51680,S,M234,NW,L2P3,1.26,123.72,1.62,158.6,0.78
51682,C,M142,NW,L2P5,0.2,23.35,1.79,208.59,0.11
51683,S,M084,NW,L2P6,0.65,79.88,1.71,208.12,0.38
51685,S,M127,NW,L2P8,0.58,70.31,1.58,191.97,0.37
51687,S,M225,NW,L2P10,0.31,32.64,2.09,222.91,0.15
51690,S,M087,NW,L2P13,0.55,67.9,1.67,205.59,0.33
51691,S,M110,NW,L2P14,0.43,52.51,1.81,220.97,0.24
51694,S,M227,NW,L2P17,0.4,47.12,1.87,221.18,0.21
51696,S,M056,NW,L2P19,0.76,84.99,1.57,175.07,0.49
51701,S,M187,NW,L2P24,0.46,53.98,1.87,220.1,0.25
51703,S,M158,NW,L3P1,0.44,53.69,1.6,193.82,0.28
51707,S,M060,NW,L3P5,0.47,59.54,1.73,220.04,0.27
51709,S,M217,NW,L3P7,0.49,49.72,2.02,203.91,0.24
51712,S,M031,NW,L3P10,0.44,58.36,1.67,223.31,0.26
51713,S,M174,NW,L3P11,0.52,60.61,1.71,201.45,0.3
51715,S,M224,NW,L3P13,0.38,39.26,2.03,208.49,0.19
51717,S,M193,NW,L3P15,0.53,66.56,1.85,231.01,0.29
51720,S,M007,NW,L3P18,1.79,158.36,1.84,162.4,0.98
51722,S,M140,NW,L3P20,0.5,59.43,2.01,240.27,0.25
51723,C,M088,NW,L3P21,0.32,34.06,1.75,188.31,0.18
51724,S,M088,NW,L3P22,0.68,83.27,1.83,224.01,0.37
51726,S,M201,NW,L3P24,0.5,64.3,1.41,183.4,0.35
